"","HPC1552","HPC1553","HPC1555","HPC1556","HPC1560","HPC1561","HPC1563","HPC1564","HPC1565","HPC1567","HPC1568","HPC1569","HPC1570","HPC1571","HPC1572","HPC1573","HPC1574","HPC1576","HPC1577","HPC1578","HPC1579","HPC1580"
"1bdd207c2b5a6578f4698c9002dcd069",0,12,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"1c2c4481171be567789843de77e41d11",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1c4cd61e295870e81876450db56481a5",0,2,11,0,0,13,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0
"1cfe39fb89ec2b3729292bc3a06c33a2",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1d07bfb45f965ec1b37e15ba15b572c8",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1d8aca6733efbdca55134d3d6eb1d5b8",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"1e0398454e9d01703d1fefcb873d6343",0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"1e6df7f9f0d490e45f8d65a02f881489",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"207647183ba0333a1ed361c02ea50d0f",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"211f5d22bb693d6843475d918ed00370",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24c70ba42443f6cc45265a2769e4e49c",7,0,0,0,0,0,5,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0
"259933104865d0181d7a213e14fa6a24",3,1,26,0,0,241,0,19,135,21,0,0,16,0,0,0,8,4,23,0,20,29
"2628bc3ce0449352d3090092eba9ebc8",0,0,0,0,0,0,0,0,1,4,5,4,0,0,0,0,0,1,0,0,2,2
"283a8c31817c78de01d6f8767b08781a",0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2849ae4e04864aa470fcafd5f8c86473",2,20,0,1,4,10,12,9,2,3,0,0,0,2,0,5,10,0,3,12,4,0
"28e91c45b68e92c4db0daafed17a5974",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"298bf2a2be0e9900d8768bda3c1b329c",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29f9f4c42712c3a12decde0dc16829fa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"2b62fe8b3f8211040e64fa8fc5b36b27",0,5,8,0,4,3,0,0,0,0,0,0,0,18,0,14,11,0,0,0,0,0
"2c84f91a860f29c5ebd69a2021f41199",6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2d4c2ced8f8c77e0ca2df5945b7238bf",2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"2d949d1ac2c7bd016db42d26914c12a1",0,0,21,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"2e0ffe0780cca0b0dbfc11a3a4aa7580",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"2f12ac30d11a51a94fa472b40995e5af",11,0,5,0,0,30,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2f49610f9b40af4a510bd644f3efad4b",3,7,142,13,50,8,4,0,40,0,97,6,7,0,23,0,0,13,24,20,0,36
"2f7354a4691dc830628e1137b50fb7ce",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2fe574953b2ed1c76e938ad95058df0c",0,0,0,0,0,0,13,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"3088a14eb98815ddfc6829219fe2ece3",1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30e3d72fcbd951def5a57611527d2a91",0,0,0,0,0,0,0,0,0,1,3,51,0,0,0,0,0,0,0,4,0,0
"31607ddc7a1a535229aa35e60c946e91",0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0
"324a1fb663ce21ad21fa1a4814f02fb2",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"325553effac2caa0a5684f0650893e49",0,2,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"3262a7e70e1dd963244d1d00a2b9281a",0,0,0,0,37,4,5,2,18,40,7,28,29,0,0,0,0,0,6,5,8,11
"328cdb0f35f0207ed4e3a37e77886853",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"33821016e68ce838bdff3bcb57daf11b",24,0,8,0,0,3,3,0,1,0,0,0,0,1,0,5,1,0,0,0,0,0
"338c1b853eb62521e948eea620bd694e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3424612315ed0a562bbdd7a35c5591e1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"34b2939e001a1f713f24adcefc147785",0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0
"34d87c87118ec297dd0e889d2a2ff2ac",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"355467c1358ae54626efbeb1ede7dc0d",0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"365c5a50d9d9531b71e2bfb719c0bc1a",0,126,0,0,0,0,0,0,0,0,0,36,3,0,0,0,0,0,0,0,0,0
"367b579863f0e1586b6765827bed9d5e",0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"37a735a589da0a94a2ba7b17f800101d",0,0,0,0,4,8,0,11,2,0,4,0,0,3,0,4,0,0,0,0,0,0
"3853ce2fe08302838f7d5e01e5ace755",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
"385a1ba4cef54506cb0123b81c9d802a",0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,5,7,85,45,83
"38ccc9b4b8603b38469c32ab1a7a2c24",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"3990019a6040874110a72374eb15b139",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3b180b5dd5fed6eac59f8908b236b689",7,0,1,0,0,0,2,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0
"3b5f068b98a24ea8ffab161509da4856",0,0,4,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,3
"3b6e6d03c26addb29bc6157c38b2e536",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
"3bc45e0457d8222f3b53ff5257312107",2,0,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0
"3c604a3201e8ba638398a8022cf81237",1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"3c652a4650e397f6146409ad10746935",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"3e4a59c6c7ec5832570351689be879b3",0,0,0,0,0,0,1,12,0,0,0,0,0,1,0,2,0,0,0,0,0,0
"400e3a5ffdb90a83d747918640c38328",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"40cdc643019f383005cc185dc96dfd75",0,0,0,0,0,0,0,0,35,0,0,0,0,8,0,0,0,0,0,0,0,0
"41152e8a5f5f452a0b48ae0be59bbf64",1,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0
"412deab72957958fc5ccba311df01c77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"41611cc955196b78440f38958466937f",0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41a8e284802f5e9202cfa5f842e43b4e",4,0,0,0,3,2,0,2,3,0,0,0,0,0,0,0,27,0,0,0,0,0
"41dcf842aa87acad4b9a667eb597f04b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"426a23c1c3541e6b3bfd5b7b0c331982",30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"42833a894ed914f2aaac8de1522f4104",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"439fb76ecd2ef62e3fd2fec870c71578",4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44be4c7bdd680e21b5d6aa4223ed66a9",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44d03b7de750db6268d79bf3b7b3f565",3,0,0,8,0,10,9,24,82,0,0,0,0,12,0,25,3,0,0,0,0,0
"45486690c0edcbe3acca30008205ef27",63,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4708ba7577269496637a3524a71e3057",0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"472e9fd93d7defe466417b5169bd6a50",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"47b7cb4025b7d3b0efe74271c4df5ee5",1,0,7,5,7,75,0,39,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"48058b189bbe8b3c84c6360015e1532f",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"489855189d9686629879eb3ede9486f8",88,0,14,3,17,0,28,0,0,48,312,1039,272,352,163,1,231,334,111,9,7,592
"49405f439038f1124a501d686ebb470a",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"499b187b1bfd265489cfda4b4cb4d8c7",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49d06b53111b794439245bb1339dd022",0,0,2,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4aa24e7a15922e1b6971014a2889877d",2,3,10,0,0,0,0,0,0,0,0,2,0,0,2,0,0,5,10,0,2,0
"4b045fdd81a50cbe7916c2793381ce4d",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,19,2,0
"4b510fc55ea201122038492299711e2c",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4bafa1d630342b15918e5abea15ad79f",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4c3f744326739cfcb797c290083783e5",22,2,14,0,0,48,0,8,26,2,12,8,0,1,4,0,0,0,0,0,0,0
"4c978ac32372d9ce2d1b5a3b5be905fa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4d48d7ff5be648dbff5d977be48b6c8e",0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0
"4d988617cf329818e90a69296cf7496c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4,0,0,0,0,0
"4e1c0167d3c2040222d31108f88779e9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"4e3caa7713a4223e544a2014d713208e",0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
