"","HPC1671","HPC1672","HPC1673","HPC1674","HPC1675","HPC1676","HPC1677","HPC1678","HPC1679","HPC1680","HPC1681","HPC1682","HPC1684","HPC1685","HPC1686","HPC1687","HPC1688","HPC1689","HPC1690","HPC1691","HPC1693","HPC1694","HPC1695","HPC1696","HPC1697","HPC16971","HPC1698","HPC1699","HPC1700","HPC1701","HPC1702","HPC1703","HPC1704","HPC1705","HPC1706","HPC1707","HPC1708","HPC1709","HPC1710","HPC1711","HPC1712","HPC1713","HPC1714","HPC1715","HPC1716","HPC1717","HPC1718","HPC1719","HPC1720","HPC17201","HPC1721","HPC1722","HPC1723","HPC1724","HPC1725","HPC1726","HPC1727","HPC1728","HPC1729","HPC1730"
"0903918b3071a83f760bf2001007ad1a",0,0,2,0,0,0,0,0,0,0,0,0,19,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,229,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,17,0,0,0,288,0
"0a1c83f2d25bd167f5266c6ec68a0174",0,0,0,0,0,0,0,1,0,0,21,0,6,2,8,0,2,3,0,0,0,5,3,0,0,0,0,0,10,0,0,0,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,5,1,4,10,17,5,0
"0a667e34252be42cc613e4f2259d1b1c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"0a6c2744f3fd46a27df769862d9f51ed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,20,3,0,0,0,0,0
"0a7fe3595e40caeafecb26f55ecf526d",0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,4,0,12,4,0,0,0,0,0,26,22,70,0,0,0,4,0,0,0,0,0,0,0,0,6,3,0,0,4,0,1,0,0,1,0,0,6,1,6,0,1,0,0,0,0
"0aaa7a386861e8d20ecd463c71506aed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0ada5f4de5ba3335d39592c00e2b5c14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0afb9118d3f6846414574d46471c3c59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0c3c94cf4cf82986c18b6a2d554a72c5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0d22d743586378beb4ffdaf660877670",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0d49e52caf3af748f7b8ec895898a7e0",0,0,0,19,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,0,0,0,11,3,0,0,17,0,0,0,3,0,42,22,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0
"0d64e0170fd5c43d58714adb75f53603",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
"0e58477a274a45e4fd4fffef21e72de1",0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0eaea4817728b1b9fc908a08e1fba154",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"0f0dd81f42d59ec796a8bfb4d4c38911",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0f29aec4e7dafdd70a57ac1e3c3f6dcf",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,14,0,0,0,0,10,46,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,5,0,1,0,0,0,0,0,0,0,5,0,3,0,0
"0fa5f8c287a62bc7d3ab7700a8ee5132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"0fd24fb9edc352a688fa95e24733afdf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0ff382d7ae605eeed36cb6880d95a4a3",23,1,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109c12009b32f821a32af4cc62599596",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10e3aba27f4ba6d182cd65489594a467",226,9,139,10,0,0,0,1,0,745,429,683,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,6,64,0,0,4,376,0,283,0,0,0,9,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,112,0,0
"114a0bce87e416d7710a2ea64c381af6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119c57487e6a23e8d33b30c4b7d69a99",0,0,268,238,0,0,0,0,0,0,0,0,34,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11d9a8ad994c5ca7f9b1f324137bc9c5",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,22,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,94,0,3,0,0,0,0,0,0,0,0,0,9,5,0,1,0,0,0,0,0,0,0,0
"12438de5de428a96cbfdc2b52d609915",0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,4,0,0,0,0,0,0
"127297ee519e246131a0ec2f6e7f224c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"128a7930b5f5e4376c85a4d10e619b67",88,72,43,44,31,133,58,85,76,26,101,150,27,119,59,57,22,42,29,73,42,58,88,51,48,37,44,34,23,35,31,111,109,123,121,38,34,35,85,42,86,139,63,55,38,105,70,112,142,153,68,36,32,145,29,27,157,38,26,68
"12c97856cf831e1bb0359ad8ddb5af4a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,4,5,0,0,5,0,0,0,0,0,0,8
"12d5be2618953ce779e808db22ea0f03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
"13e7d8f598035447d123840e986a771a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,344,0,0,0,63,0,0,0,12,0,0,0,0,0,0,0,0,0
"14130b7ecf57d356da3280f9778c3f1b",0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14da701d736ef70cf12a3edc3c0736b6",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0
"157a3ae68f649aa19985b36aeb2b5cc6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16507e25d999abc59217324eaa106635",0,0,5,8,0,13,0,0,0,0,0,10,4,0,0,1,0,5,1,0,0,0,0,0,5,1,0,0,0,17,1,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,1,0
"16c588d8b393e723d6214d8d5ac7dc6f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"16f020830e952b571bc6361e7506bdc6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17332728e59dc0a6d6015eb75b324a49",2,11,0,2,12,0,7,0,2,0,5,5,0,2,0,2,0,4,0,0,0,4,0,10,1,0,0,0,0,17,2,2,0,0,8,0,0,1,0,8,5,5,8,0,17,1,10,0,2,0,0,0,0,0,0,0,7,0,3,8
"179710d70e6e69c307d386edd30f8716",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"18cadcffaff74a9880cf0d2b09896f19",4,0,4,26,0,1,0,0,0,0,0,0,0,0,0,0,0,2,85,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"1985cd54ab819b16fedcef9dc1aa435a",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1a46c8bf78d0aebada3974e90786a846",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1a7bc380a2464c9dbc931d58cc8e7abf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1ac657404ee31fc8667fa6728da24f6e",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0
