"","HPC1401","HPC1403","HPC1406","HPC1408","HPC1409","HPC1410","HPC1412","HPC1413","HPC1414","HPC1415","HPC1416","HPC1417","HPC1418","HPC1419","HPC1420","HPC1421","HPC1422","HPC1423","HPC1425","HPC1426","HPC1428","HPC1429","HPC1430","HPC1417KNZ"
"1cb031b91bb95b4f538abeaaf0026e96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0
"1cdb007b530994869ed47e6660b6761f",0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1d4e962f0cb28b17623d5ce153bf3da0",1,0,0,0,0,0,0,0,15,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3
"1d8aca6733efbdca55134d3d6eb1d5b8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
"1db34a3c2faac40962039ce55ddf2e6c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1dbe529017f29b95ce78f5cc38355432",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"1f40236cdff722a5116eb9457f8dabd3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"1f41d1247e97294bd4a54c5946268927",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1f7b30915a8fbd0ba09bec6473b86704",0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0
"20077bf45361bfb7c93a37840a275c37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"2046bb0f26fadcdf415fc402a9d93679",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205689b524b6f04b260bfa6f080179bd",772,3,9,13,0,11,8,0,7,63,0,0,11,3,12,5,0,0,0,44,4,7,84,0
"205b88c92931ca92e0f146a0e2a47dca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"207647183ba0333a1ed361c02ea50d0f",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"218ce46fd7a5e12ca88880bab234f7d9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
"22793edc9cd9907ce5d798d27d9bea22",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"228e7ae35ddea86db1e312de22a46b5b",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"23edb4fd44dea85d661464ae7125f257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0
"2628bc3ce0449352d3090092eba9ebc8",0,0,0,0,6,1,0,0,0,4,17,0,0,0,2,0,0,0,0,0,0,0,0,0
"26f339506d88e7b057613ee1c5bc510d",0,0,4,0,0,0,8,0,0,11,0,3,18,2,0,0,0,0,0,0,0,0,0,0
"27995115a3a9556d0a61cd820b438bb6",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2884f446b7bb73b0f419f130e9aa55b9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"28d810ba0a32732763dfb2628fdc3106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"293c013b8b4d9e2e73a5900a1364255a",0,0,2,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,2,0
"29a2816a1ac8efb1f35b2aa183c1d6e8",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"29b7cd6352becc322414fa5fe983e206",0,0,0,0,0,0,0,1,2,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"29d9af249d83e5fc67054ff02cbce1c4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"2a2b8b0dcd151e3cded4e9a0c6c8525c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"2ba90b0be01177328bfba05450b59ed7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2cc5a3c7f04660f1ed343fa0dfc45b9a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0
"2cf646413bd751e43d3e3d59449dce78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0
"2d8f6db5d2b2c4714cc2837f9a0f2015",0,17,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,1,7,3,0
"2dad2b20e9a477cf4f2f537f7c39ebc5",0,0,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2e424c331fd4cc1ff133695d5b9514cd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"2e756e9be0fb920d489d2245e62d3248",0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0
"2e8cf80a637f35436facf4d188dd5efa",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
