"","HPC1463","HPC1464","HPC1465","HPC1466","HPC1467","HPC1468","HPC1471","HPC1472","HPC1473","HPC1474","HPC1475","HPC1476","HPC1477","HPC1478","HPC1479","HPC1480","HPC1483","HPC1486","HPC1487","HPC1490","HPC1483KNZ"
"261935bf4d4df64dc9206ab7ccfd645e",2,1,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,10,0,17,0
"2628bc3ce0449352d3090092eba9ebc8",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"298bf2a2be0e9900d8768bda3c1b329c",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2a2b8b0dcd151e3cded4e9a0c6c8525c",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2b4970ca6af26e91607595a26a75099b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2ba90b0be01177328bfba05450b59ed7",71,21,15,0,0,0,40,1,0,2,2,0,0,0,27,0,0,23,94,0,0
"2baddfb2c08e9f5af6e22e4d077906d2",0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0
"2cf646413bd751e43d3e3d59449dce78",0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,17,0,0,0,19
"2d877221cad6990b379fb7a1b5d919a9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"2e756e9be0fb920d489d2245e62d3248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
"2f49610f9b40af4a510bd644f3efad4b",0,4,0,9,0,0,7,0,0,2,15,4,0,3,0,1,0,3,4,5,1
"2f8d47332b12dd771e9fefc4167c4680",0,0,0,0,592,9,0,0,0,657,544,296,505,0,0,0,0,0,66,0,0
"302c25410e905a32fac3f59019a52c7a",0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,6,0
"3108ee4675a164b1fe31c9fac79fd78e",0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0
"31e8701d31c3e62c1b346677d0fbb769",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
