"","sample1","sample2","bNRI","RC","Process","Process_contribution"
"HTM.10","HTMTRS4Y_2019","HTMTRS3Y_2019",-0.939181594037842,0.156,"Ecological Drift",1
"HTM.11","HTMTRS5Y_2019","HTMTRS3Y_2019",-1.52831506804783,0.213,"Ecological Drift",1
"HTM.12","HTMTRS6Y_2019","HTMTRS3Y_2019",-1.30207631005632,0.945,"Ecological Drift",1
"HTM.13","HTMTRS5Y_2019","HTMTRS4Y_2019",-0.872185638899565,0.428,"Ecological Drift",1
"HTM.14","HTMTRS6Y_2019","HTMTRS4Y_2019",-0.538464864538129,0.982,"Dispersal limitation",1
"HTM.15","HTMTRS6Y_2019","HTMTRS5Y_2019",-1.12966603218467,-0.653,"Ecological Drift",1
"KNZ.1","KNZKNZ1_2Y_2020","KNZKNZ1_1Y_2020",-0.269262657301685,-1,"Homogenizing dispersal",1
"KNZ.2","KNZKNZ1_3Y_2020","KNZKNZ1_1Y_2020",-0.299462272513296,-0.998,"Homogenizing dispersal",1
"KNZ.3","KNZKNZ1_4Y_2020","KNZKNZ1_1Y_2020",-1.23784505107878,-0.945,"Ecological Drift",1
"KNZ.4","KNZKNZ2_1Y_2020","KNZKNZ1_1Y_2020",-0.902567808650144,-0.993,"Homogenizing dispersal",1
"KNZ.5","KNZKNZ2_2Y_2020","KNZKNZ1_1Y_2020",-0.517399666616612,-0.879,"Ecological Drift",1
"KNZ.6","KNZKNZ2_3Y_2020","KNZKNZ1_1Y_2020",-0.351581680795857,-0.998,"Homogenizing dispersal",1
"KNZ.7","KNZKNZ2_4Y_2020","KNZKNZ1_1Y_2020",-0.899495219322077,-0.808,"Ecological Drift",1
"KNZ.8","KNZKNZ3_1Y_2020","KNZKNZ1_1Y_2020",-1.20650236959624,-0.919,"Ecological Drift",1
"KNZ.9","KNZKNZ3_2Y_2020","KNZKNZ1_1Y_2020",-0.599325834004121,-0.867,"Ecological Drift",1
"KNZ.10","KNZKNZ3_3Y_2020","KNZKNZ1_1Y_2020",-0.997420510058567,-0.98,"Homogenizing dispersal",1
"KNZ.11","KNZKNZ3_4Y_2020","KNZKNZ1_1Y_2020",0.539705242574699,-0.731,"Ecological Drift",1
"KNZ.12","KNZKNZ1_3Y_2020","KNZKNZ1_2Y_2020",-0.580000543512827,-1,"Homogenizing dispersal",1
"KNZ.13","KNZKNZ1_4Y_2020","KNZKNZ1_2Y_2020",-1.60943281288849,-0.998,"Homogenizing dispersal",1
"KNZ.14","KNZKNZ2_1Y_2020","KNZKNZ1_2Y_2020",-1.09856647263264,-1,"Homogenizing dispersal",1
"KNZ.15","KNZKNZ2_2Y_2020","KNZKNZ1_2Y_2020",-0.961532031209125,-0.91,"Ecological Drift",1
"KNZ.16","KNZKNZ2_3Y_2020","KNZKNZ1_2Y_2020",-0.583628262653565,-0.998,"Homogenizing dispersal",1
"KNZ.17","KNZKNZ2_4Y_2020","KNZKNZ1_2Y_2020",-1.0114845097896,-1,"Homogenizing dispersal",1
"KNZ.18","KNZKNZ3_1Y_2020","KNZKNZ1_2Y_2020",-1.44283247581972,-0.986,"Homogenizing dispersal",1
"KNZ.19","KNZKNZ3_2Y_2020","KNZKNZ1_2Y_2020",-0.794737111689964,-0.982,"Homogenizing dispersal",1
"KNZ.20","KNZKNZ3_3Y_2020","KNZKNZ1_2Y_2020",-1.3771000948101,-1,"Homogenizing dispersal",1
"KNZ.21","KNZKNZ3_4Y_2020","KNZKNZ1_2Y_2020",0.159539778538423,-1,"Homogenizing dispersal",1
"KNZ.22","KNZKNZ1_4Y_2020","KNZKNZ1_3Y_2020",-1.47092691484282,-0.998,"Homogenizing dispersal",1
"KNZ.23","KNZKNZ2_1Y_2020","KNZKNZ1_3Y_2020",-1.09936430174533,-1,"Homogenizing dispersal",1
"KNZ.24","KNZKNZ2_2Y_2020","KNZKNZ1_3Y_2020",-0.829973666218367,-0.857,"Ecological Drift",1
"KNZ.25","KNZKNZ2_3Y_2020","KNZKNZ1_3Y_2020",-0.579440703055338,-0.99,"Homogenizing dispersal",1
"KNZ.26","KNZKNZ2_4Y_2020","KNZKNZ1_3Y_2020",-1.06484627889087,-0.98,"Homogenizing dispersal",1
"KNZ.27","KNZKNZ3_1Y_2020","KNZKNZ1_3Y_2020",-1.37941636426058,-1,"Homogenizing dispersal",1
"KNZ.28","KNZKNZ3_2Y_2020","KNZKNZ1_3Y_2020",-0.804471592312109,-0.967,"Homogenizing dispersal",1
"KNZ.29","KNZKNZ3_3Y_2020","KNZKNZ1_3Y_2020",-1.30300242209105,-0.979,"Homogenizing dispersal",1
"KNZ.30","KNZKNZ3_4Y_2020","KNZKNZ1_3Y_2020",0.239894482560542,-0.998,"Homogenizing dispersal",1
"KNZ.31","KNZKNZ2_1Y_2020","KNZKNZ1_4Y_2020",-2.07449761353126,-0.979,"Environmental filtering",1
"KNZ.32","KNZKNZ2_2Y_2020","KNZKNZ1_4Y_2020",-1.87742183823237,-0.573,"Ecological Drift",1
"KNZ.33","KNZKNZ2_3Y_2020","KNZKNZ1_4Y_2020",-1.60929025265698,-0.938,"Ecological Drift",1
"KNZ.34","KNZKNZ2_4Y_2020","KNZKNZ1_4Y_2020",-2.23576567267601,-0.269,"Environmental filtering",1
"KNZ.35","KNZKNZ3_1Y_2020","KNZKNZ1_4Y_2020",-2.60002914747928,0.156,"Environmental filtering",1
"KNZ.36","KNZKNZ3_2Y_2020","KNZKNZ1_4Y_2020",-1.89557518219038,-0.125,"Ecological Drift",1
"KNZ.37","KNZKNZ3_3Y_2020","KNZKNZ1_4Y_2020",-2.40648486786253,-0.964,"Environmental filtering",1
"KNZ.38","KNZKNZ3_4Y_2020","KNZKNZ1_4Y_2020",-0.678108545549945,-0.509,"Ecological Drift",1
"KNZ.39","KNZKNZ2_2Y_2020","KNZKNZ2_1Y_2020",-1.34022336125511,-1,"Homogenizing dispersal",1
"KNZ.40","KNZKNZ2_3Y_2020","KNZKNZ2_1Y_2020",-1.1729550434588,-1,"Homogenizing dispersal",1
"KNZ.41","KNZKNZ2_4Y_2020","KNZKNZ2_1Y_2020",-1.75964769020447,-0.534,"Ecological Drift",1
"KNZ.42","KNZKNZ3_1Y_2020","KNZKNZ2_1Y_2020",-2.00786511364839,-0.998,"Environmental filtering",1
"KNZ.43","KNZKNZ3_2Y_2020","KNZKNZ2_1Y_2020",-1.40935145517062,-0.977,"Homogenizing dispersal",1
"KNZ.44","KNZKNZ3_3Y_2020","KNZKNZ2_1Y_2020",-1.79724392476214,-0.998,"Homogenizing dispersal",1
"KNZ.45","KNZKNZ3_4Y_2020","KNZKNZ2_1Y_2020",-0.319795584546101,-0.969,"Homogenizing dispersal",1
"KNZ.46","KNZKNZ2_3Y_2020","KNZKNZ2_2Y_2020",-0.835250169833843,-0.991,"Homogenizing dispersal",1
"KNZ.47","KNZKNZ2_4Y_2020","KNZKNZ2_2Y_2020",-1.37959587889853,-0.301,"Ecological Drift",1
"KNZ.48","KNZKNZ3_1Y_2020","KNZKNZ2_2Y_2020",-1.8179147137073,0.0740000000000001,"Ecological Drift",1
"KNZ.49","KNZKNZ3_2Y_2020","KNZKNZ2_2Y_2020",-1.09393600036343,0.079,"Ecological Drift",1
"KNZ.50","KNZKNZ3_3Y_2020","KNZKNZ2_2Y_2020",-1.65560539690645,-0.988,"Homogenizing dispersal",1
"KNZ.51","KNZKNZ3_4Y_2020","KNZKNZ2_2Y_2020",0.0126759502102444,-0.715,"Ecological Drift",1
"KNZ.52","KNZKNZ2_4Y_2020","KNZKNZ2_3Y_2020",-1.20173376332525,-0.996,"Homogenizing dispersal",1
"KNZ.53","KNZKNZ3_1Y_2020","KNZKNZ2_3Y_2020",-1.537197777511,-0.951,"Homogenizing dispersal",1
"KNZ.54","KNZKNZ3_2Y_2020","KNZKNZ2_3Y_2020",-0.86995340631693,-0.994,"Homogenizing dispersal",1
"KNZ.55","KNZKNZ3_3Y_2020","KNZKNZ2_3Y_2020",-1.34074290571177,-0.996,"Homogenizing dispersal",1
"KNZ.56","KNZKNZ3_4Y_2020","KNZKNZ2_3Y_2020",0.310591592926134,-0.667,"Ecological Drift",1
"KNZ.57","KNZKNZ3_1Y_2020","KNZKNZ2_4Y_2020",-2.11439155076683,-0.757,"Environmental filtering",1
"KNZ.58","KNZKNZ3_2Y_2020","KNZKNZ2_4Y_2020",-1.49443903400745,-0.407,"Ecological Drift",1
"KNZ.59","KNZKNZ3_3Y_2020","KNZKNZ2_4Y_2020",-1.94097632753285,-0.864,"Ecological Drift",1
"KNZ.60","KNZKNZ3_4Y_2020","KNZKNZ2_4Y_2020",-0.167309844167545,-0.811,"Ecological Drift",1
"KNZ.61","KNZKNZ3_2Y_2020","KNZKNZ3_1Y_2020",-1.63871767106151,-1,"Homogenizing dispersal",1
"KNZ.62","KNZKNZ3_3Y_2020","KNZKNZ3_1Y_2020",-2.2016496110259,-1,"Environmental filtering",1
"KNZ.63","KNZKNZ3_4Y_2020","KNZKNZ3_1Y_2020",-0.569252426440599,-1,"Homogenizing dispersal",1
"KNZ.64","KNZKNZ3_3Y_2020","KNZKNZ3_2Y_2020",-1.5541842921531,-1,"Homogenizing dispersal",1
"KNZ.65","KNZKNZ3_4Y_2020","KNZKNZ3_2Y_2020",0.0752365046818884,-1,"Homogenizing dispersal",1
"KNZ.66","KNZKNZ3_4Y_2020","KNZKNZ3_3Y_2020",-0.447757684245707,-1,"Homogenizing dispersal",1
"KWD.1","KWDTRS2Y_2019","KWDTRS1Y_2019",-1.62499751060641,0.922,"Ecological Drift",1
"KWD.2","KWDTRS3Y_2019","KWDTRS1Y_2019",-0.477842421840108,0.764,"Ecological Drift",1
"KWD.3","KWDTRS4Y_2019","KWDTRS1Y_2019",-1.6495277101881,1,"Dispersal limitation",1
