"","HPC1521","HPC1522","HPC1524","HPC1525","HPC1526","HPC1527","HPC1528","HPC1529","HPC1531","HPC1532","HPC1533","HPC1534","HPC1536","HPC1539","HPC1540","HPC1541","HPC1542","HPC1544","HPC1546","HPC1547","HPC1549","HPC1550"
"1bfac9024b73f6407173a808838dfa94",1,0,0,0,0,0,3,0,1,0,0,0,8,5,5,0,0,2,3,31,0,3
"1c2c4481171be567789843de77e41d11",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1cd3f843ddb7b340d7edf5da668a648e",0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
"1d5db8b43506538dc873100dbf1babe9",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1f41f115cb405f2ac7a1db6f0d47013a",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1f42e59f79bfc8aa12bf8282c35787eb",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2031af0ed6bc6004eb969e62bd0624b4",0,45,0,10,8,106,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
"207647183ba0333a1ed361c02ea50d0f",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"22bfdf922188ba93ee555cd3a5ac5d48",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"24791d3d91858737c317d435d768b6aa",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2581bcf75073c372b9f2c2ac8eac998c",0,0,0,0,0,1,0,0,0,0,0,0,11,4,2,0,0,0,2,0,3,6
"259933104865d0181d7a213e14fa6a24",0,0,14,0,45,0,0,0,43,21,14,31,0,0,48,19,0,6,8,57,0,0
"261935bf4d4df64dc9206ab7ccfd645e",0,1,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
"2628bc3ce0449352d3090092eba9ebc8",22,0,1,11,0,0,4,0,3,0,45,4,14,18,16,2,8,20,10,0,4,2
"26ba00ca8357396d16b94d11255d71ab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"26f339506d88e7b057613ee1c5bc510d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"2826584c4dae42748e6c34f9a192d6ab",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2835e6b3ed880a518c4a7cc45aa2492d",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"28e91c45b68e92c4db0daafed17a5974",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
"28e992ec5957c74684c8c65b46202f97",0,0,0,0,0,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,0,10
"294c35db4390d1600746650117e063d0",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"29670356fdb03864e33ec98c626a9af7",0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0
"29d9af249d83e5fc67054ff02cbce1c4",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2c03065f3acff133c9c05e0488a8e458",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,0,0
"2e10669d21778c6c943dd10801ceb60a",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"2e9647a26f7602fa1bfeb52e4b5f74f1",0,1,0,0,0,15,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"2eb343cdd4e7f8194270bddb086b9f60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"2f37611fbd002402d0d7bc5694578944",0,0,0,0,0,0,73,6,0,0,0,0,11,0,0,0,0,0,0,1,7,0
"2f49610f9b40af4a510bd644f3efad4b",17,0,4,0,0,3,0,0,0,2,4,4,7,0,8,0,7,1,0,0,3,2
"302c25410e905a32fac3f59019a52c7a",0,0,0,0,2,0,0,0,0,0,7,0,7,0,0,0,0,0,9,0,0,0
"308db9e0f58aaa4a5072c87ce354b201",0,0,0,0,0,40,0,0,0,0,75,562,0,0,0,0,0,0,0,0,0,0
"30e3d72fcbd951def5a57611527d2a91",47,9,2,5,19,15,18,16,0,10,33,0,12,153,11,55,61,4,0,14,15,0
"325553effac2caa0a5684f0650893e49",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3262a7e70e1dd963244d1d00a2b9281a",2,42,2,2,143,4,5,3,22,11,10,0,0,22,2,68,27,13,44,2,21,7
"33139768b30a93b2f0d625bdb4d526fb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"33821016e68ce838bdff3bcb57daf11b",0,0,0,0,0,0,6,0,0,38,0,0,0,4,0,0,0,5,0,0,0,0
"338c1b853eb62521e948eea620bd694e",0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34b2939e001a1f713f24adcefc147785",0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
"355467c1358ae54626efbeb1ede7dc0d",0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"372aa8ddf93db7b85700356435339e4e",0,0,0,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37a735a589da0a94a2ba7b17f800101d",0,0,1,2,0,0,0,0,0,8,18,3,13,7,3,3,0,2,0,0,0,6
"385a1ba4cef54506cb0123b81c9d802a",45,43,0,0,1,9,0,0,23,63,4,9,0,0,0,0,0,71,1,92,64,12
"3889c757cbbb522208de62cf9892f10b",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38ccc9b4b8603b38469c32ab1a7a2c24",0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3990019a6040874110a72374eb15b139",0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,4
"3a579e8e269f7d3f67a4a99df65de414",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3b5f068b98a24ea8ffab161509da4856",0,0,0,3,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0
"3d20d8db719d878b97ac7b9c02a1831c",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"3d7fd8a1b7c690baeb988682bbbd1a64",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3dac25508f59b0bf239ba3b61d53e4ed",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
"3e70d124741af565e6195ad7f1827a22",1,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"3ed42a2a6a97d92ca05a9def60ae129a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0
