,sample1,sample2,bNRI,RC,Process,Process_contribution
DMR.4,DMRTRS5Y_2019,DMRTRS1Y_2019,-2.393674793,0.119,Environmental filtering,1
DMR.5,DMRTRS6Y_2019,DMRTRS1Y_2019,-2.333688882,0.992,Environmental filtering,1
DMR.6,DMRTRS3Y_2019,DMRTRS2Y_2019,-0.075592479,-0.758,Ecological Drift,1
DMR.7,DMRTRS4Y_2019,DMRTRS2Y_2019,-0.875015719,0.589,Ecological Drift,1
DMR.8,DMRTRS5Y_2019,DMRTRS2Y_2019,-1.48285569,-0.755,Ecological Drift,1
DMR.9,DMRTRS6Y_2019,DMRTRS2Y_2019,-1.541830782,0.779,Ecological Drift,1
DMR.10,DMRTRS4Y_2019,DMRTRS3Y_2019,-0.140703428,0.689,Ecological Drift,1
DMR.11,DMRTRS5Y_2019,DMRTRS3Y_2019,-0.948282357,0.031,Ecological Drift,1
DMR.12,DMRTRS6Y_2019,DMRTRS3Y_2019,-0.599493526,0.878,Ecological Drift,1
DMR.13,DMRTRS5Y_2019,DMRTRS4Y_2019,-1.539283811,-0.385,Ecological Drift,1
DMR.14,DMRTRS6Y_2019,DMRTRS4Y_2019,-1.424071335,0.487,Ecological Drift,1
DMR.15,DMRTRS6Y_2019,DMRTRS5Y_2019,-2.129046668,0.396,Environmental filtering,1
HSC.1,HSCTRS1Y_2019,HSCTRS1Y_2018,-1.806873243,-0.871,Ecological Drift,1
HSC.2,HSCTRS2Y_2018,HSCTRS1Y_2018,-1.335587812,-0.971,Homogenizing dispersal,1
HSC.3,HSCTRS2Y_2019,HSCTRS1Y_2018,-0.827314899,-0.921,Ecological Drift,1
HSC.4,HSCTRS3Y_2018,HSCTRS1Y_2018,-1.421551811,-0.776,Ecological Drift,1
HSC.5,HSCTRS3Y_2019,HSCTRS1Y_2018,-2.151325728,-0.634,Environmental filtering,1
HSC.6,HSCTRS4Y_2018,HSCTRS1Y_2018,-0.925335831,-0.996,Homogenizing dispersal,1
HSC.7,HSCTRS4Y_2019,HSCTRS1Y_2018,-0.968469347,-1,Homogenizing dispersal,1
HSC.8,HSCTRS5Y_2019,HSCTRS1Y_2018,-0.152755663,-1,Homogenizing dispersal,1
HSC.9,HSCTRS6Y_2019,HSCTRS1Y_2018,-1.479839382,-1,Homogenizing dispersal,1
HSC.10,HSCTRS2Y_2018,HSCTRS1Y_2019,-3.003686672,-0.561,Environmental filtering,1
HSC.11,HSCTRS2Y_2019,HSCTRS1Y_2019,-2.022022105,-0.955,Environmental filtering,1
HSC.12,HSCTRS3Y_2018,HSCTRS1Y_2019,-3.047875694,-0.723,Environmental filtering,1
HSC.13,HSCTRS3Y_2019,HSCTRS1Y_2019,-3.627762607,-0.91,Environmental filtering,1
HSC.14,HSCTRS4Y_2018,HSCTRS1Y_2019,-2.185889406,0.857,Environmental filtering,1
HSC.15,HSCTRS4Y_2019,HSCTRS1Y_2019,-1.672981546,-0.999,Homogenizing dispersal,1
HSC.16,HSCTRS5Y_2019,HSCTRS1Y_2019,-1.089717871,0.788,Ecological Drift,1
HSC.17,HSCTRS6Y_2019,HSCTRS1Y_2019,-2.742830245,0.342,Environmental filtering,1
HSC.18,HSCTRS2Y_2019,HSCTRS2Y_2018,-1.492510646,-0.703,Ecological Drift,1
HSC.19,HSCTRS3Y_2018,HSCTRS2Y_2018,-2.482753781,-0.173,Environmental filtering,1
HSC.20,HSCTRS3Y_2019,HSCTRS2Y_2018,-3.11308416,-0.982,Environmental filtering,1
HSC.21,HSCTRS4Y_2018,HSCTRS2Y_2018,-1.675026343,0.975,Dispersal limitation,1
HSC.22,HSCTRS4Y_2019,HSCTRS2Y_2018,-1.320685243,-0.993,Homogenizing dispersal,1
HSC.23,HSCTRS5Y_2019,HSCTRS2Y_2018,-0.497918554,-0.02,Ecological Drift,1
HSC.24,HSCTRS6Y_2019,HSCTRS2Y_2018,-2.311185436,0.843,Environmental filtering,1
HSC.25,HSCTRS3Y_2018,HSCTRS2Y_2019,-1.481073183,-0.942,Ecological Drift,1
HSC.26,HSCTRS3Y_2019,HSCTRS2Y_2019,-2.242006099,-0.996,Environmental filtering,1
HSC.27,HSCTRS4Y_2018,HSCTRS2Y_2019,-0.873310037,0.853,Ecological Drift,1
HSC.28,HSCTRS4Y_2019,HSCTRS2Y_2019,-0.972533609,-0.452,Ecological Drift,1
HSC.29,HSCTRS5Y_2019,HSCTRS2Y_2019,0.113599768,-0.764,Ecological Drift,1
HSC.30,HSCTRS6Y_2019,HSCTRS2Y_2019,-1.565816577,-0.784,Ecological Drift,1
HSC.31,HSCTRS3Y_2019,HSCTRS3Y_2018,-3.284039051,-0.697,Environmental filtering,1
HSC.32,HSCTRS4Y_2018,HSCTRS3Y_2018,-1.764790795,1,Dispersal limitation,1
HSC.33,HSCTRS4Y_2019,HSCTRS3Y_2018,-1.391235043,-0.659,Ecological Drift,1
HSC.34,HSCTRS5Y_2019,HSCTRS3Y_2018,-0.492789206,0.642,Ecological Drift,1
HSC.35,HSCTRS6Y_2019,HSCTRS3Y_2018,-2.277456857,-0.128,Environmental filtering,1
HSC.36,HSCTRS4Y_2018,HSCTRS3Y_2019,-2.553815569,-0.624,Environmental filtering,1
HSC.37,HSCTRS4Y_2019,HSCTRS3Y_2019,-1.851862882,-1,Homogenizing dispersal,1
HSC.38,HSCTRS5Y_2019,HSCTRS3Y_2019,-1.392387755,-0.918,Ecological Drift,1
HSC.39,HSCTRS6Y_2019,HSCTRS3Y_2019,-2.901353648,-0.986,Environmental filtering,1
HSC.40,HSCTRS4Y_2019,HSCTRS4Y_2018,-1.009689396,-0.99,Homogenizing dispersal,1
HSC.41,HSCTRS5Y_2019,HSCTRS4Y_2018,-0.010680139,-0.088,Ecological Drift,1
HSC.42,HSCTRS6Y_2019,HSCTRS4Y_2018,-1.74427982,-0.432,Ecological Drift,1
HSC.43,HSCTRS5Y_2019,HSCTRS4Y_2019,-0.452246626,-1,Homogenizing dispersal,1
HSC.44,HSCTRS6Y_2019,HSCTRS4Y_2019,-1.517112406,-0.998,Homogenizing dispersal,1
HSC.45,HSCTRS6Y_2019,HSCTRS5Y_2019,-0.870043293,-0.994,Homogenizing dispersal,1
HTM.1,HTMTRS2Y_2019,HTMTRS1Y_2019,-0.415783531,-0.901,Ecological Drift,1
HTM.2,HTMTRS3Y_2019,HTMTRS1Y_2019,-0.66716617,-0.924,Ecological Drift,1
HTM.3,HTMTRS4Y_2019,HTMTRS1Y_2019,-0.204902589,-0.433,Ecological Drift,1
HTM.4,HTMTRS5Y_2019,HTMTRS1Y_2019,-0.602304517,-0.974,Homogenizing dispersal,1
HTM.5,HTMTRS6Y_2019,HTMTRS1Y_2019,-0.14975102,-0.654,Ecological Drift,1
HTM.6,HTMTRS3Y_2019,HTMTRS2Y_2019,-1.056581274,0.016,Ecological Drift,1
HTM.7,HTMTRS4Y_2019,HTMTRS2Y_2019,-0.411049651,0.708,Ecological Drift,1
HTM.8,HTMTRS5Y_2019,HTMTRS2Y_2019,-0.923666475,-0.446,Ecological Drift,1
HTM.9,HTMTRS6Y_2019,HTMTRS2Y_2019,-0.353416865,0.602,Ecological Drift,1
HTM.10,HTMTRS4Y_2019,HTMTRS3Y_2019,-0.964487388,0.157,Ecological Drift,1
HTM.11,HTMTRS5Y_2019,HTMTRS3Y_2019,-1.498437185,0.306,Ecological Drift,1
HTM.12,HTMTRS6Y_2019,HTMTRS3Y_2019,-1.2901144,0.943,Ecological Drift,1
HTM.13,HTMTRS5Y_2019,HTMTRS4Y_2019,-0.84479471,0.338,Ecological Drift,1
HTM.14,HTMTRS6Y_2019,HTMTRS4Y_2019,-0.552391619,0.976,Dispersal limitation,1
HTM.15,HTMTRS6Y_2019,HTMTRS5Y_2019,-1.119496563,-0.575,Ecological Drift,1
KNZ.1,KNZKNZ1_2Y_2020,KNZKNZ1_1Y_2020,-0.299477887,-1,Homogenizing dispersal,1
KNZ.2,KNZKNZ1_3Y_2020,KNZKNZ1_1Y_2020,-0.333193054,-1,Homogenizing dispersal,1
KNZ.3,KNZKNZ1_4Y_2020,KNZKNZ1_1Y_2020,-1.346763876,-0.922,Ecological Drift,1
KNZ.4,KNZKNZ2_1Y_2020,KNZKNZ1_1Y_2020,-0.908312233,-0.988,Homogenizing dispersal,1
KNZ.5,KNZKNZ2_2Y_2020,KNZKNZ1_1Y_2020,-0.609821941,-0.888,Ecological Drift,1
KNZ.6,KNZKNZ2_3Y_2020,KNZKNZ1_1Y_2020,-0.365824311,-0.998,Homogenizing dispersal,1
KNZ.7,KNZKNZ2_4Y_2020,KNZKNZ1_1Y_2020,-0.990818457,-0.77,Ecological Drift,1
KNZ.8,KNZKNZ3_1Y_2020,KNZKNZ1_1Y_2020,-1.221667643,-0.916,Ecological Drift,1
KNZ.9,KNZKNZ3_2Y_2020,KNZKNZ1_1Y_2020,-0.621274791,-0.87,Ecological Drift,1
KNZ.10,KNZKNZ3_3Y_2020,KNZKNZ1_1Y_2020,-1.051027764,-0.983,Homogenizing dispersal,1
KNZ.11,KNZKNZ3_4Y_2020,KNZKNZ1_1Y_2020,0.552220834,-0.814,Ecological Drift,1
KNZ.12,KNZKNZ1_3Y_2020,KNZKNZ1_2Y_2020,-0.569363245,-1,Homogenizing dispersal,1
KNZ.13,KNZKNZ1_4Y_2020,KNZKNZ1_2Y_2020,-1.62034631,-0.994,Homogenizing dispersal,1
KNZ.14,KNZKNZ2_1Y_2020,KNZKNZ1_2Y_2020,-1.042803261,-1,Homogenizing dispersal,1
KNZ.15,KNZKNZ2_2Y_2020,KNZKNZ1_2Y_2020,-1.019260365,-0.887,Ecological Drift,1
KNZ.16,KNZKNZ2_3Y_2020,KNZKNZ1_2Y_2020,-0.561690648,-0.998,Homogenizing dispersal,1
KNZ.17,KNZKNZ2_4Y_2020,KNZKNZ1_2Y_2020,-1.035516204,-1,Homogenizing dispersal,1
KNZ.18,KNZKNZ3_1Y_2020,KNZKNZ1_2Y_2020,-1.431530452,-0.992,Homogenizing dispersal,1
KNZ.19,KNZKNZ3_2Y_2020,KNZKNZ1_2Y_2020,-0.768131721,-0.981,Homogenizing dispersal,1
KNZ.20,KNZKNZ3_3Y_2020,KNZKNZ1_2Y_2020,-1.375790343,-1,Homogenizing dispersal,1
KNZ.21,KNZKNZ3_4Y_2020,KNZKNZ1_2Y_2020,0.18739124,-0.998,Homogenizing dispersal,1
KNZ.22,KNZKNZ1_4Y_2020,KNZKNZ1_3Y_2020,-1.551151946,-1,Homogenizing dispersal,1
KNZ.23,KNZKNZ2_1Y_2020,KNZKNZ1_3Y_2020,-1.071570034,-1,Homogenizing dispersal,1
KNZ.24,KNZKNZ2_2Y_2020,KNZKNZ1_3Y_2020,-0.898738972,-0.808,Ecological Drift,1
KNZ.25,KNZKNZ2_3Y_2020,KNZKNZ1_3Y_2020,-0.574321831,-0.994,Homogenizing dispersal,1
KNZ.26,KNZKNZ2_4Y_2020,KNZKNZ1_3Y_2020,-1.104606609,-0.96,Homogenizing dispersal,1
KNZ.27,KNZKNZ3_1Y_2020,KNZKNZ1_3Y_2020,-1.377949708,-0.998,Homogenizing dispersal,1
KNZ.28,KNZKNZ3_2Y_2020,KNZKNZ1_3Y_2020,-0.800710689,-0.952,Homogenizing dispersal,1
KNZ.29,KNZKNZ3_3Y_2020,KNZKNZ1_3Y_2020,-1.316821632,-0.954,Homogenizing dispersal,1
KNZ.30,KNZKNZ3_4Y_2020,KNZKNZ1_3Y_2020,0.276876682,-0.992,Homogenizing dispersal,1
KNZ.31,KNZKNZ2_1Y_2020,KNZKNZ1_4Y_2020,-2.067502069,-0.968,Environmental filtering,1
KNZ.32,KNZKNZ2_2Y_2020,KNZKNZ1_4Y_2020,-2.086481232,-0.531,Environmental filtering,1
KNZ.33,KNZKNZ2_3Y_2020,KNZKNZ1_4Y_2020,-1.643343976,-0.91,Ecological Drift,1
KNZ.34,KNZKNZ2_4Y_2020,KNZKNZ1_4Y_2020,-2.315548952,-0.331,Environmental filtering,1
KNZ.35,KNZKNZ3_1Y_2020,KNZKNZ1_4Y_2020,-2.620466054,0.205,Environmental filtering,1
KNZ.36,KNZKNZ3_2Y_2020,KNZKNZ1_4Y_2020,-1.93697149,-0.139,Ecological Drift,1
KNZ.37,KNZKNZ3_3Y_2020,KNZKNZ1_4Y_2020,-2.445988573,-0.952,Environmental filtering,1
KNZ.38,KNZKNZ3_4Y_2020,KNZKNZ1_4Y_2020,-0.70605973,-0.484,Ecological Drift,1
KNZ.39,KNZKNZ2_2Y_2020,KNZKNZ2_1Y_2020,-1.40020761,-0.998,Homogenizing dispersal,1
KNZ.40,KNZKNZ2_3Y_2020,KNZKNZ2_1Y_2020,-1.119355887,-0.999,Homogenizing dispersal,1
KNZ.41,KNZKNZ2_4Y_2020,KNZKNZ2_1Y_2020,-1.757659577,-0.564,Ecological Drift,1
KNZ.42,KNZKNZ3_1Y_2020,KNZKNZ2_1Y_2020,-1.895025824,-0.998,Homogenizing dispersal,1
KNZ.43,KNZKNZ3_2Y_2020,KNZKNZ2_1Y_2020,-1.346752458,-0.992,Homogenizing dispersal,1
KNZ.44,KNZKNZ3_3Y_2020,KNZKNZ2_1Y_2020,-1.768789537,-0.998,Homogenizing dispersal,1
KNZ.45,KNZKNZ3_4Y_2020,KNZKNZ2_1Y_2020,-0.285810764,-0.956,Homogenizing dispersal,1
KNZ.46,KNZKNZ2_3Y_2020,KNZKNZ2_2Y_2020,-0.861326344,-0.998,Homogenizing dispersal,1
KNZ.47,KNZKNZ2_4Y_2020,KNZKNZ2_2Y_2020,-1.510941399,-0.241,Ecological Drift,1
KNZ.48,KNZKNZ3_1Y_2020,KNZKNZ2_2Y_2020,-1.883035614,0.184,Ecological Drift,1
KNZ.49,KNZKNZ3_2Y_2020,KNZKNZ2_2Y_2020,-1.144505954,0.098,Ecological Drift,1
KNZ.50,KNZKNZ3_3Y_2020,KNZKNZ2_2Y_2020,-1.719642457,-0.967,Homogenizing dispersal,1
KNZ.51,KNZKNZ3_4Y_2020,KNZKNZ2_2Y_2020,0.017224089,-0.79,Ecological Drift,1
