,sample1,sample2,bNRI,RC,Process,Process_contribution
MP.8,MPTRS5Y_2019,MPTRS2Y_2019,-1.310864485,-0.582,Ecological Drift,1
MP.9,MPTRS6Y_2019,MPTRS2Y_2019,-2.080349733,0.469,Environmental filtering,1
MP.10,MPTRS4Y_2019,MPTRS3Y_2019,-2.693388427,-0.954,Environmental filtering,1
MP.11,MPTRS5Y_2019,MPTRS3Y_2019,-1.153691367,0.919,Ecological Drift,1
MP.12,MPTRS6Y_2019,MPTRS3Y_2019,-1.898299852,-0.722,Ecological Drift,1
MP.13,MPTRS5Y_2019,MPTRS4Y_2019,-1.443440295,0.976,Dispersal limitation,1
MP.14,MPTRS6Y_2019,MPTRS4Y_2019,-2.20850146,-0.556,Environmental filtering,1
MP.15,MPTRS6Y_2019,MPTRS5Y_2019,-0.807603197,0.873,Ecological Drift,1
PC.1,PCTRS1Y_2019,PCTRS1Y_2018,-1.736760301,0.988,Dispersal limitation,1
PC.2,PCTRS2Y_2018,PCTRS1Y_2018,-0.414222188,-1,Homogenizing dispersal,1
PC.3,PCTRS2Y_2019,PCTRS1Y_2018,-2.930359086,0.946,Environmental filtering,1
PC.4,PCTRS3Y_2018,PCTRS1Y_2018,0.212392446,-0.931,Ecological Drift,1
PC.5,PCTRS3Y_2019,PCTRS1Y_2018,-2.04758798,0.996,Environmental filtering,1
PC.6,PCTRS4Y_2018,PCTRS1Y_2018,-0.915002721,-1,Homogenizing dispersal,1
PC.7,PCTRS4Y_2019,PCTRS1Y_2018,-1.956994855,0.254,Ecological Drift,1
PC.8,PCTRS5Y_2019,PCTRS1Y_2018,-2.397851865,0.558,Environmental filtering,1
PC.9,PCTRS6Y_2019,PCTRS1Y_2018,-1.842072866,0.998,Dispersal limitation,1
PC.10,PCTRS2Y_2018,PCTRS1Y_2019,-1.502237063,0.98,Dispersal limitation,1
PC.11,PCTRS2Y_2019,PCTRS1Y_2019,-3.706531681,-1,Environmental filtering,1
PC.12,PCTRS3Y_2018,PCTRS1Y_2019,-1.049919804,1,Dispersal limitation,1
PC.13,PCTRS3Y_2019,PCTRS1Y_2019,-2.954616312,-1,Environmental filtering,1
PC.14,PCTRS4Y_2018,PCTRS1Y_2019,-1.722949685,0.982,Dispersal limitation,1
PC.15,PCTRS4Y_2019,PCTRS1Y_2019,-2.437534257,-1,Environmental filtering,1
PC.16,PCTRS5Y_2019,PCTRS1Y_2019,-2.692469119,-1,Environmental filtering,1
PC.17,PCTRS6Y_2019,PCTRS1Y_2019,-3.236754078,-0.99,Environmental filtering,1
PC.18,PCTRS2Y_2019,PCTRS2Y_2018,-2.755785169,1,Environmental filtering,1
PC.19,PCTRS3Y_2018,PCTRS2Y_2018,0.869093435,-0.566,Ecological Drift,1
PC.20,PCTRS3Y_2019,PCTRS2Y_2018,-1.884884834,1,Dispersal limitation,1
PC.21,PCTRS4Y_2018,PCTRS2Y_2018,-0.377011443,-1,Homogenizing dispersal,1
PC.22,PCTRS4Y_2019,PCTRS2Y_2018,-1.475319399,0.823,Ecological Drift,1
PC.23,PCTRS5Y_2019,PCTRS2Y_2018,-1.820607143,0.964,Dispersal limitation,1
PC.24,PCTRS6Y_2019,PCTRS2Y_2018,-1.616150359,1,Dispersal limitation,1
PC.25,PCTRS3Y_2018,PCTRS2Y_2019,-2.258385015,1,Environmental filtering,1
PC.26,PCTRS3Y_2019,PCTRS2Y_2019,-3.799434615,-1,Environmental filtering,1
PC.27,PCTRS4Y_2018,PCTRS2Y_2019,-2.822166761,0.997,Environmental filtering,1
PC.28,PCTRS4Y_2019,PCTRS2Y_2019,-3.405217523,-1,Environmental filtering,1
PC.29,PCTRS5Y_2019,PCTRS2Y_2019,-3.762721858,-1,Environmental filtering,1
PC.30,PCTRS6Y_2019,PCTRS2Y_2019,-4.260609374,-0.777,Environmental filtering,1
PC.31,PCTRS3Y_2019,PCTRS3Y_2018,-1.371867748,1,Dispersal limitation,1
PC.32,PCTRS4Y_2018,PCTRS3Y_2018,0.240819839,-0.533,Ecological Drift,1
PC.33,PCTRS4Y_2019,PCTRS3Y_2018,-0.902392831,1,Dispersal limitation,1
PC.34,PCTRS5Y_2019,PCTRS3Y_2018,-1.132765805,1,Dispersal limitation,1
PC.35,PCTRS6Y_2019,PCTRS3Y_2018,-1.147686514,1,Dispersal limitation,1
PC.36,PCTRS4Y_2018,PCTRS3Y_2019,-2.00493347,0.986,Environmental filtering,1
PC.37,PCTRS4Y_2019,PCTRS3Y_2019,-2.67344147,-0.996,Environmental filtering,1
PC.38,PCTRS5Y_2019,PCTRS3Y_2019,-2.878731247,-1,Environmental filtering,1
PC.39,PCTRS6Y_2019,PCTRS3Y_2019,-3.430896374,-0.964,Environmental filtering,1
PC.40,PCTRS4Y_2019,PCTRS4Y_2018,-1.881573071,0.369,Ecological Drift,1
PC.41,PCTRS5Y_2019,PCTRS4Y_2018,-2.238019202,0.09,Environmental filtering,1
PC.42,PCTRS6Y_2019,PCTRS4Y_2018,-1.803031567,0.998,Dispersal limitation,1
PC.43,PCTRS5Y_2019,PCTRS4Y_2019,-2.816074427,-1,Environmental filtering,1
PC.44,PCTRS6Y_2019,PCTRS4Y_2019,-2.633757817,-0.931,Environmental filtering,1
PC.45,PCTRS6Y_2019,PCTRS5Y_2019,-2.822493636,-1,Environmental filtering,1
RR.1,RRTRS2Y_2019,RRTRS1Y_2019,0.043690304,-0.118,Ecological Drift,1
RR.2,RRTRS3Y_2019,RRTRS1Y_2019,-1.268466805,0.843,Ecological Drift,1
RR.3,RRTRS4Y_2019,RRTRS1Y_2019,-0.257106014,0.865,Ecological Drift,1
RR.4,RRTRS5Y_2019,RRTRS1Y_2019,-1.184267566,-0.976,Homogenizing dispersal,1
RR.5,RRTRS6Y_2019,RRTRS1Y_2019,-1.57291946,0.79,Ecological Drift,1
RR.6,RRTRS3Y_2019,RRTRS2Y_2019,-0.327554396,0.751,Ecological Drift,1
RR.7,RRTRS4Y_2019,RRTRS2Y_2019,0.672219603,0.809,Ecological Drift,1
RR.8,RRTRS5Y_2019,RRTRS2Y_2019,-0.446066403,-0.803,Ecological Drift,1
RR.9,RRTRS6Y_2019,RRTRS2Y_2019,-0.618444651,0.708,Ecological Drift,1
RR.10,RRTRS4Y_2019,RRTRS3Y_2019,-0.715925055,0.221,Ecological Drift,1
RR.11,RRTRS5Y_2019,RRTRS3Y_2019,-1.490848061,0.04,Ecological Drift,1
RR.12,RRTRS6Y_2019,RRTRS3Y_2019,-1.947638456,-0.559,Ecological Drift,1
RR.13,RRTRS5Y_2019,RRTRS4Y_2019,-0.555478982,-0.618,Ecological Drift,1
RR.14,RRTRS6Y_2019,RRTRS4Y_2019,-0.924373783,-0.624,Ecological Drift,1
RR.15,RRTRS6Y_2019,RRTRS5Y_2019,-1.723518885,-0.782,Ecological Drift,1
SP.1,SPTRS1Y_2019,SPTRS1Y_2018,-2.741590373,0.979,Environmental filtering,1
SP.2,SPTRS2Y_2018,SPTRS1Y_2018,-0.335199065,0.093,Ecological Drift,1
SP.3,SPTRS2Y_2019,SPTRS1Y_2018,-3.160581344,0.859,Environmental filtering,1
SP.4,SPTRS3Y_2018,SPTRS1Y_2018,-2.620758068,1,Environmental filtering,1
SP.5,SPTRS3Y_2019,SPTRS1Y_2018,-2.322994311,0.308,Environmental filtering,1
SP.6,SPTRS4Y_2018,SPTRS1Y_2018,-1.267935692,0.931,Ecological Drift,1
SP.7,SPTRS4Y_2019,SPTRS1Y_2018,-2.001242999,-0.285,Environmental filtering,1
SP.8,SPTRS5Y_2019,SPTRS1Y_2018,-2.687973227,1,Environmental filtering,1
SP.9,SPTRS6Y_2019,SPTRS1Y_2018,-2.78989516,-0.161,Environmental filtering,1
SP.10,SPTRS2Y_2018,SPTRS1Y_2019,-0.821235569,-0.168,Ecological Drift,1
SP.11,SPTRS2Y_2019,SPTRS1Y_2019,-3.281451305,-0.999,Environmental filtering,1
SP.12,SPTRS3Y_2018,SPTRS1Y_2019,-2.533562746,0.421,Environmental filtering,1
SP.13,SPTRS3Y_2019,SPTRS1Y_2019,-2.477859764,-0.994,Environmental filtering,1
SP.14,SPTRS4Y_2018,SPTRS1Y_2019,-1.560832459,-0.99,Homogenizing dispersal,1
SP.15,SPTRS4Y_2019,SPTRS1Y_2019,-2.288271587,-0.976,Environmental filtering,1
SP.16,SPTRS5Y_2019,SPTRS1Y_2019,-2.741314255,-0.95,Environmental filtering,1
SP.17,SPTRS6Y_2019,SPTRS1Y_2019,-2.822159981,-0.994,Environmental filtering,1
SP.18,SPTRS2Y_2019,SPTRS2Y_2018,-1.277703192,0.445,Ecological Drift,1
SP.19,SPTRS3Y_2018,SPTRS2Y_2018,-0.260901358,0.306,Ecological Drift,1
SP.20,SPTRS3Y_2019,SPTRS2Y_2018,-0.540056151,-0.992,Homogenizing dispersal,1
SP.21,SPTRS4Y_2018,SPTRS2Y_2018,0.68110243,-0.025,Ecological Drift,1
SP.22,SPTRS4Y_2019,SPTRS2Y_2018,-0.236313654,-0.886,Ecological Drift,1
SP.23,SPTRS5Y_2019,SPTRS2Y_2018,-0.699194906,0.994,Dispersal limitation,1
SP.24,SPTRS6Y_2019,SPTRS2Y_2018,-1.004582782,-0.683,Ecological Drift,1
SP.25,SPTRS3Y_2018,SPTRS2Y_2019,-2.835514235,0.082,Environmental filtering,1
SP.26,SPTRS3Y_2019,SPTRS2Y_2019,-3.051245474,-0.645,Environmental filtering,1
SP.27,SPTRS4Y_2018,SPTRS2Y_2019,-2.032305273,-0.956,Environmental filtering,1
SP.28,SPTRS4Y_2019,SPTRS2Y_2019,-2.687334755,-1,Environmental filtering,1
SP.29,SPTRS5Y_2019,SPTRS2Y_2019,-3.086668459,-1,Environmental filtering,1
SP.30,SPTRS6Y_2019,SPTRS2Y_2019,-3.144891543,-1,Environmental filtering,1
SP.31,SPTRS3Y_2019,SPTRS3Y_2018,-2.113891489,-0.915,Environmental filtering,1
SP.32,SPTRS4Y_2018,SPTRS3Y_2018,-1.157788573,-0.655,Ecological Drift,1
SP.33,SPTRS4Y_2019,SPTRS3Y_2018,-1.82134571,-0.585,Ecological Drift,1
SP.34,SPTRS5Y_2019,SPTRS3Y_2018,-2.399280626,0.497,Environmental filtering,1
SP.35,SPTRS6Y_2019,SPTRS3Y_2018,-2.617161974,-0.922,Environmental filtering,1
SP.36,SPTRS4Y_2018,SPTRS3Y_2019,-1.252784055,-0.948,Ecological Drift,1
SP.37,SPTRS4Y_2019,SPTRS3Y_2019,-1.920646515,-1,Homogenizing dispersal,1
SP.38,SPTRS5Y_2019,SPTRS3Y_2019,-2.477189179,-0.022,Environmental filtering,1
SP.39,SPTRS6Y_2019,SPTRS3Y_2019,-2.456802544,-1,Environmental filtering,1
SP.40,SPTRS4Y_2019,SPTRS4Y_2018,-0.914482364,-0.991,Homogenizing dispersal,1
SP.41,SPTRS5Y_2019,SPTRS4Y_2018,-1.401631933,-0.466,Ecological Drift,1
SP.42,SPTRS6Y_2019,SPTRS4Y_2018,-1.677514635,-1,Homogenizing dispersal,1
SP.43,SPTRS5Y_2019,SPTRS4Y_2019,-2.125624417,-0.998,Environmental filtering,1
SP.44,SPTRS6Y_2019,SPTRS4Y_2019,-2.262046476,-1,Environmental filtering,1
SP.45,SPTRS6Y_2019,SPTRS5Y_2019,-2.725734782,-0.955,Environmental filtering,1
