,Kingdom,Phylum,Class,Order,Family,Genera,Species
104,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,,
106,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__unidentified
107,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,,,
111,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__unidentified,s__unidentified
112,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,,,
113,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__unidentified
114,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Parasola,s__Parasola_conopilea
115,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,,
116,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Myrmecridiales,f__Myrmecridiaceae,g__Myrmecridium,
117,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Auriculariales,,,
120,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lophiostomataceae,,
122,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
123,k__Fungi,p__Ascomycota,c__Geoglossomycetes,o__Geoglossales,f__Geoglossaceae,,
128,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,,,
130,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Geastrales,f__Sclerogastraceae,g__Sclerogaster,
134,k__Fungi,p__Mucoromycota,c__Mucoromycetes,o__Mucorales,f__Cunninghamellaceae,g__Gongronella,s__unidentified
136,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,
137,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Ophiosphaerella,s__unidentified
138,k__Fungi,p__Ascomycota,c__Sordariomycetes,,,,
142,k__Fungi,p__Ascomycota,,,,,
144,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,
145,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Tremellodendropsidales,f__unidentified,g__unidentified,s__unidentified
147,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideomycetes_ord_Incertae_sedis,f__Dothideomycetes_fam_Incertae_sedis,g__Peltaster,s__unidentified
148,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,g__unidentified,s__unidentified
149,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Bolbitiaceae,g__Conocybe,
150,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Polyporaceae,g__Polyporus,
152,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,,,
154,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,
155,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__unidentified,s__unidentified
162,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__unidentified,g__unidentified,s__unidentified
165,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Bolbitiaceae,g__Conocybe,
167,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Mycena,s__unidentified
168,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Arrhenia,
170,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,,
172,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,,,
174,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Cystobasidiales,f__Cystobasidiaceae,,
176,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Auriculariales,,,
177,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__unidentified
179,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,f__Acaulosporaceae,g__Acaulospora,
180,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__unidentified,s__unidentified
181,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Gigasporales,f__Gigasporaceae,g__Gigaspora,s__Gigaspora_margarita
186,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__unidentified,s__unidentified
187,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,,,
189,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Dioszegia,
190,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,,
191,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,g__unidentified,s__unidentified
197,k__Fungi,p__Ascomycota,c__Dothideomycetes,,,,
198,k__Fungi,p__Basidiomycota,c__Agaricomycetes,,,,
200,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Sebacinaceae,g__Efibulobasidium,s__unidentified
204,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Dermoloma,
205,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,,,
207,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,,
208,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
209,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Geastrales,f__unidentified,g__unidentified,s__unidentified
211,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Teichosporaceae,g__Teichospora,
212,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Bolbitiaceae,,
213,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__unidentified,g__unidentified,s__unidentified
214,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__unidentified,g__unidentified,s__unidentified
